Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
Fly to [F Dustwallow Marsh],Fly,,,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=
"Buy 3 Soothing Spices at [G 66,51Dustwallow Marsh]",Text,,,Dustwallow Marsh,,,,,"Buy 3 Soothing Spices at [G 66,51Dustwallow Marsh]",https://classic.wowhead.com/quest=
Accept: [QA1282],Accept,1282,They Call Him Smiling Jim,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1282
TurnIn: [QT1282],Turnin,1282,They Call Him Smiling Jim,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1282
TurnIn: [QT1264],Turnin,1264,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1264
Accept: [QA1265],Accept,1265,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1265
"Set your [H] to Dustwallow Marsh at [G66.6,45.2Dustwallow Marsh]",Hearthstone,,,Dustwallow Marsh,"66.6,45.2",,,,,https://classic.wowhead.com/quest=
"Run to [G60.1,40.7Dustwallow Marsh]",Run,,,Dustwallow Marsh,"60.1,40.7",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1265],Turnin,1265,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1265
Accept: [QA1266],Accept,1266,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1266
Accept: [QA1218],Accept,1218,Soothing Spices,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1218
TurnIn: [QT1218],Turnin,1218,Soothing Spices,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1218
Accept: [QA1206],Accept,1206,Jarl Needs Eyes,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1206
Accept: [QA1219],Accept,1219,The Orc Report,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1219
Accept: [QA1222],Accept,1222,Stinky's Escape,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1222
Do: [QC1222],Do,1222,Stinky's Escape,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1222
TurnIn: [QT1266],Turnin,1266,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1266
Accept: [QA1324],Accept,1324,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1324
Do: [QC1324],Do,1324,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1324
TurnIn: [QT1324],Turnin,1324,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1324
Accept: [QA1267],Accept,1267,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1267
TurnIn: [QT1267],Turnin,1267,The Missing Diplomat,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1267
Do: [QC1206],Do,1206,Jarl Needs Eyes,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1206
Grind till [XP38],Text,,,Dustwallow Marsh,,,,,Grind till [XP38],https://classic.wowhead.com/quest=
Accept: [QA1177],Accept,1177,Hungry!,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1177
Accept: [QA1284],Accept,1284,Suspicious Hoofprints,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1284
Accept: [QA1252],Accept,1252,Lieutenant Paval Reethe,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1252
Accept: [QA1253],Accept,1253,The Black Shield,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1253
Do: [QC1187],Do,1187,Razzeric's Tweaking,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1187
Use your [H] Hearthstone.,UseHearthstone,,,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1222],Turnin,1222,Stinky's Escape,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1222
TurnIn: [QT1219],Turnin,1219,The Orc Report,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1219
Accept: [QA1220],Accept,1220,Captain Vimes,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1220
TurnIn: [QT1220],Turnin,1220,Captain Vimes,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1220
TurnIn: [QT1252],Turnin,1252,Lieutenant Paval Reethe,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1252
TurnIn: [QT1253],Turnin,1253,The Black Shield,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1253
TurnIn: [QT1284],Turnin,1284,Suspicious Hoofprints,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1284
Accept: [QA1319],Accept,1319,The Black Shield,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1319
Accept: [QA1259],Accept,1259,Lieutenant Paval Reethe,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1259
TurnIn: [QT1259],Turnin,1259,Lieutenant Paval Reethe,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1259
Accept: [QA1285],Accept,1285,Daelin's Men,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1285
TurnIn: [QT1285],Turnin,1285,Daelin's Men,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1285
Accept: [QA1286],Accept,1286,The Deserters,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1286
TurnIn: [QT1319],Turnin,1319,The Black Shield,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1319
Accept: [QA1320],Accept,1320,The Black Shield,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1320
Do: [QC1177],Do,1177,Hungry!,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1177
TurnIn: [QT1206],Turnin,1206,Jarl Needs Eyes,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1206
TurnIn: [QT1177],Turnin,1177,Hungry!,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1177
TurnIn: [QT1286],Turnin,1286,The Deserters,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1286
Accept: [QA1287],Accept,1287,The Deserters,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1287
TurnIn: [QT1287],Turnin,1287,The Deserters,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1287
TurnIn: [QT1320],Turnin,1320,The Black Shield,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=1320
Fly to [F Ratchet],Fly,,,Ratchet,,,,,,https://classic.wowhead.com/quest=
Take the boat to Booty bay,Text,,,Ratchet,,,,,Take the boat to Booty bay,https://classic.wowhead.com/quest=
